video_id,channel_id,channel_name,duration_sec,category,video_url,,,,
f2JU71I6PEY,UCh2a1Cd6nKoNkKg2rEgDdpw,Tahsan Khan,194,Music & Talk,https://www.youtube.com/watch?v=f2JU71I6PEY,,,,
idsL6f6hvAE,UCh2a1Cd6nKoNkKg2rEgDdpw,Tahsan Khan,251,Music & Talk,https://www.youtube.com/watch?v=idsL6f6hvAE,,,,
OVK2k1WOJCc,UCEO0rIuBz8Dc8p7PpGE26ZQ,Tawhid Afridi,63,Vlogs & Informal Talk,https://www.youtube.com/watch?v=OVK2k1WOJCc,,,,
28wewC39fQY,UCEO0rIuBz8Dc8p7PpGE26ZQ,Tawhid Afridi,410,Vlogs & Informal Talk,https://www.youtube.com/watch?v=28wewC39fQY,,,,
uJdKy42t6-8,UCEO0rIuBz8Dc8p7PpGE26ZQ,Tawhid Afridi,132,Vlogs & Informal Talk,https://www.youtube.com/watch?v=uJdKy42t6-8,,,,
IRtgYMu0rww,UCEO0rIuBz8Dc8p7PpGE26ZQ,Tawhid Afridi,67,Vlogs & Informal Talk,https://www.youtube.com/watch?v=IRtgYMu0rww,,,,
a4lo3fAjCuM,UCEO0rIuBz8Dc8p7PpGE26ZQ,Tawhid Afridi,79,Vlogs & Informal Talk,https://www.youtube.com/watch?v=a4lo3fAjCuM,,,,
-IAwLhH30ds,UCnXmuphQV3fxs51znrr4eng,10 Minute School,212,Online Class,https://www.youtube.com/watch?v=-IAwLhH30ds,,,,
sCdh8PGYASQ,UCnXmuphQV3fxs51znrr4eng,10 Minute School,167,Online Class,https://www.youtube.com/watch?v=sCdh8PGYASQ,,,,
zTelUfp_qjo,UCYfTpKVP5YQ7t7p6_eJhSEQ,Shikho,232,Online Learning,https://www.youtube.com/watch?v=zTelUfp_qjo,,,,
iRGrzsTWyss,UC3fW9w2_AZ2_9wb_P0ia4mA,Sunday Suspense,5135,Audio Drama,https://www.youtube.com/watch?v=iRGrzsTWyss,,,,
X020uvCGuN8,UC3fW9w2_AZ2_9wb_P0ia4mA,Sunday Suspense,3268,Audio Drama,https://www.youtube.com/watch?v=X020uvCGuN8,,,,
Vh3njP247Ig,UC3fW9w2_AZ2_9wb_P0ia4mA,Sunday Suspense,3607,Audio Drama,https://www.youtube.com/watch?v=Vh3njP247Ig,,,,
o5NGa50IdkQ,UC3fW9w2_AZ2_9wb_P0ia4mA,Sunday Suspense,3265,Audio Drama,https://www.youtube.com/watch?v=o5NGa50IdkQ,,,,
vh_U8Yced0M,UC3fW9w2_AZ2_9wb_P0ia4mA,Sunday Suspense,3035,Audio Drama,https://www.youtube.com/watch?v=vh_U8Yced0M,,,,
TKWU2233x8g,UCEXwc6mNh7Lakj6lX-7a2Mg,Anisul Islam,271,Programming Tutorials,https://www.youtube.com/watch?v=TKWU2233x8g,,,,
rOlWt3D_WqM,UCEXwc6mNh7Lakj6lX-7a2Mg,Anisul Islam,63,Programming Tutorials,https://www.youtube.com/watch?v=rOlWt3D_WqM,,,,
fkgCdSJW5gU,UCEXwc6mNh7Lakj6lX-7a2Mg,Anisul Islam,293,Programming Tutorials,https://www.youtube.com/watch?v=fkgCdSJW5gU,,,,
A6HkvSjusKI,UCEXwc6mNh7Lakj6lX-7a2Mg,Anisul Islam,240,Programming Tutorials,https://www.youtube.com/watch?v=A6HkvSjusKI,,,,
vFe9oak9-BY,UCEXwc6mNh7Lakj6lX-7a2Mg,Anisul Islam,196,Programming Tutorials,https://www.youtube.com/watch?v=vFe9oak9-BY,,,,
oiDYRWrQB9s,UCs2cWnd7Sb1eXT-50oMOxlw,Jhankar Mahbub,278,Programming Education,https://www.youtube.com/watch?v=oiDYRWrQB9s,,,,
mhNHWU3zX5k,UCxHoBXkY88Tb8z1Ssj6CWsQ,Somoy TV,176,News Presentation,https://www.youtube.com/watch?v=mhNHWU3zX5k,,,,
7vsLy2UlTEg,UCxHoBXkY88Tb8z1Ssj6CWsQ,Somoy TV,492,News Presentation,https://www.youtube.com/watch?v=7vsLy2UlTEg,,,,
JV-jGqRl_IE,UCxHoBXkY88Tb8z1Ssj6CWsQ,Somoy TV,1880,News Presentation,https://www.youtube.com/watch?v=JV-jGqRl_IE,,,,
yNTEa9kRm4k,UCxHoBXkY88Tb8z1Ssj6CWsQ,Somoy TV,65,News Presentation,https://www.youtube.com/watch?v=yNTEa9kRm4k,,,,
uAVAC8wOufs,UCxHoBXkY88Tb8z1Ssj6CWsQ,Somoy TV,434,News Presentation,https://www.youtube.com/watch?v=uAVAC8wOufs,,,,
7eEUCYhFxeo,UCN6sm8iHiPd0cnoUardDAnw,Jamuna TV,1555,News Presentation,https://www.youtube.com/watch?v=7eEUCYhFxeo,,,,
XMMOUauKsRg,UCN6sm8iHiPd0cnoUardDAnw,Jamuna TV,92,News Presentation,https://www.youtube.com/watch?v=XMMOUauKsRg,,,,
gCp89axLtYk,UCN6sm8iHiPd0cnoUardDAnw,Jamuna TV,385,News Presentation,https://www.youtube.com/watch?v=gCp89axLtYk,,,,
Rl79l4USkdM,UCN6sm8iHiPd0cnoUardDAnw,Jamuna TV,172,News Presentation,https://www.youtube.com/watch?v=Rl79l4USkdM,,,,
UihWQKs9BCw,UCN6sm8iHiPd0cnoUardDAnw,Jamuna TV,153,News Presentation,https://www.youtube.com/watch?v=UihWQKs9BCw,,,,
If1q0OU0Srs,UCHLqIOMPk20w-6cFgkA90jw,Channel 24,305,News Presentation,https://www.youtube.com/watch?v=If1q0OU0Srs,,,,
FKnPZ7sMTpI,UCHLqIOMPk20w-6cFgkA90jw,Channel 24,98,News Presentation,https://www.youtube.com/watch?v=FKnPZ7sMTpI,,,,
9JdHL-JqdIY,UCHLqIOMPk20w-6cFgkA90jw,Channel 24,315,News Presentation,https://www.youtube.com/watch?v=9JdHL-JqdIY,,,,
5JRC9_CZm1o,UCHLqIOMPk20w-6cFgkA90jw,Channel 24,1125,News Presentation,https://www.youtube.com/watch?v=5JRC9_CZm1o,,,,
y3KB0aHU5j4,UCHLqIOMPk20w-6cFgkA90jw,Channel 24,154,News Presentation,https://www.youtube.com/watch?v=y3KB0aHU5j4,,,,
Hd8FOJ3CeRA,UCKlhfq1ILoAFav7iw5iCnfA,ATN News,200,News Presentation,https://www.youtube.com/watch?v=Hd8FOJ3CeRA,,,,
KVUcosNTamk,UCKlhfq1ILoAFav7iw5iCnfA,ATN News,229,News Presentation,https://www.youtube.com/watch?v=KVUcosNTamk,,,,
RCYOltlzWBc,UCATUkaOHwO9EP_W87zCiPbA,Independent TV,633,News Presentation,https://www.youtube.com/watch?v=RCYOltlzWBc,,,,
CVrYIdUkq7M,UCATUkaOHwO9EP_W87zCiPbA,Independent TV,141,News Presentation,https://www.youtube.com/watch?v=CVrYIdUkq7M,,,,
Q84H8AhKQ64,UCATUkaOHwO9EP_W87zCiPbA,Independent TV,231,News Presentation,https://www.youtube.com/watch?v=Q84H8AhKQ64,,,,
waeBqaX2Cwc,UCATUkaOHwO9EP_W87zCiPbA,Independent TV,120,News Presentation,https://www.youtube.com/watch?v=waeBqaX2Cwc,,,,
Fz84BkVO9Yo,UCATUkaOHwO9EP_W87zCiPbA,Independent TV,507,News Presentation,https://www.youtube.com/watch?v=Fz84BkVO9Yo,,,,
XWAo1Vb5Xcc,UChPD2BQ2dJ-w00klQQkc-Qg,BBC News Bangla,450,International News,https://www.youtube.com/watch?v=XWAo1Vb5Xcc,,,,
kCQkXudJqOs,UChPD2BQ2dJ-w00klQQkc-Qg,BBC News Bangla,221,International News,https://www.youtube.com/watch?v=kCQkXudJqOs,,,,
FllzYKZc9Ow,UChPD2BQ2dJ-w00klQQkc-Qg,BBC News Bangla,75,International News,https://www.youtube.com/watch?v=FllzYKZc9Ow,,,,
QPxaiWMVkIo,UCtqvtAVmad5zywaziN6CbfA,Ekattor TV,155,News Presentation,https://www.youtube.com/watch?v=QPxaiWMVkIo,,,,
MMPFLkB8jD0,UCtqvtAVmad5zywaziN6CbfA,Ekattor TV,111,News Presentation,https://www.youtube.com/watch?v=MMPFLkB8jD0,,,,
s7n7hDvmmlE,UCtqvtAVmad5zywaziN6CbfA,Ekattor TV,115,News Presentation,https://www.youtube.com/watch?v=s7n7hDvmmlE,,,,
hKwG94wu_Ig,UCtqvtAVmad5zywaziN6CbfA,Ekattor TV,843,News Presentation,https://www.youtube.com/watch?v=hKwG94wu_Ig,,,,
0T5SNuAjMb0,UCtqvtAVmad5zywaziN6CbfA,Ekattor TV,900,News Presentation,https://www.youtube.com/watch?v=0T5SNuAjMb0,,,,
JCLCJ3rj4Z8,UCUvXoiDEKI8VZJrr58g4VAw,DBC News,133,News Presentation,https://www.youtube.com/watch?v=JCLCJ3rj4Z8,,,,
gHMSAVk45QU,UCUvXoiDEKI8VZJrr58g4VAw,DBC News,759,News Presentation,https://www.youtube.com/watch?v=gHMSAVk45QU,,,,
LYcnp86-ZQs,UCUvXoiDEKI8VZJrr58g4VAw,DBC News,83,News Presentation,https://www.youtube.com/watch?v=LYcnp86-ZQs,,,,
Voe5x92nHCY,UCUvXoiDEKI8VZJrr58g4VAw,DBC News,435,News Presentation,https://www.youtube.com/watch?v=Voe5x92nHCY,,,,
xrsJiSyQh2Q,UCUvXoiDEKI8VZJrr58g4VAw,DBC News,1835,News Presentation,https://www.youtube.com/watch?v=xrsJiSyQh2Q,,,,
saDvWNRwzWk,UCl13d2BTcnn_wQmlpWV_Ctw,SATV News,137,News Presentation,https://www.youtube.com/watch?v=saDvWNRwzWk,,,,
gtRvU00dNkQ,UCl13d2BTcnn_wQmlpWV_Ctw,SATV News,311,News Presentation,https://www.youtube.com/watch?v=gtRvU00dNkQ,,,,
FWtwWmRaUYc,UCl13d2BTcnn_wQmlpWV_Ctw,SATV News,125,News Presentation,https://www.youtube.com/watch?v=FWtwWmRaUYc,,,,
W6WTNEwwSbo,UCu5_9xekpXOIlyqRHWqOd_Q,Nagorik TV,768,Political Talk,https://www.youtube.com/watch?v=W6WTNEwwSbo,,,,
P2nTsM56pnc,UCu5_9xekpXOIlyqRHWqOd_Q,Nagorik TV,501,Political Talk,https://www.youtube.com/watch?v=P2nTsM56pnc,,,,
TwCj8rFgreE,UCu5_9xekpXOIlyqRHWqOd_Q,Nagorik TV,531,Political Talk,https://www.youtube.com/watch?v=TwCj8rFgreE,,,,
7y3RKiDRvKM,UCu5_9xekpXOIlyqRHWqOd_Q,Nagorik TV,534,Political Talk,https://www.youtube.com/watch?v=7y3RKiDRvKM,,,,
OXlcmyNvgeA,UCu5_9xekpXOIlyqRHWqOd_Q,Nagorik TV,509,Political Talk,https://www.youtube.com/watch?v=OXlcmyNvgeA,,,,
PIIE51Tlp54,UCTSvHZkOStz5Ak2J_q6YRlA,Boishakhi TV,148,News Presentation,https://www.youtube.com/watch?v=PIIE51Tlp54,,,,
RwDc78A7wM8,UCUbtdbJRpaXiUI_IlBOvPpA,Pinaki Bhattacharya,1781,Political Analysis / Opinion,https://www.youtube.com/watch?v=RwDc78A7wM8,,,,
1jIWH-IqBoU,UCUbtdbJRpaXiUI_IlBOvPpA,Pinaki Bhattacharya,1228,Political Analysis / Opinion,https://www.youtube.com/watch?v=1jIWH-IqBoU,,,,
K6DqZM3EREk,UCUbtdbJRpaXiUI_IlBOvPpA,Pinaki Bhattacharya,989,Political Analysis / Opinion,https://www.youtube.com/watch?v=K6DqZM3EREk,,,,
pJuHCyI1bHg,UCUbtdbJRpaXiUI_IlBOvPpA,Pinaki Bhattacharya,930,Political Analysis / Opinion,https://www.youtube.com/watch?v=pJuHCyI1bHg,,,,
iFBCR5jjuXc,UCUbtdbJRpaXiUI_IlBOvPpA,Pinaki Bhattacharya,1281,Political Analysis / Opinion,https://www.youtube.com/watch?v=iFBCR5jjuXc,,,,
Pt5vJe2z9m8,UClURnTgQiQpldGhtD4Fc7JQ,Elias Hossain,120,Political Commentary / Analysis,https://www.youtube.com/watch?v=Pt5vJe2z9m8,,,,
aTQqMBWd-58,UClURnTgQiQpldGhtD4Fc7JQ,Elias Hossain,83,Political Commentary / Analysis,https://www.youtube.com/watch?v=aTQqMBWd-58,,,,
pLNgjNqFerg,UClURnTgQiQpldGhtD4Fc7JQ,Elias Hossain,486,Political Commentary / Analysis,https://www.youtube.com/watch?v=pLNgjNqFerg,,,,
HsUPJ2UgSIo,UClURnTgQiQpldGhtD4Fc7JQ,Elias Hossain,1357,Political Commentary / Analysis,https://www.youtube.com/watch?v=HsUPJ2UgSIo,,,,
tWuy1b6YFnI,UClURnTgQiQpldGhtD4Fc7JQ,Elias Hossain,830,Political Commentary / Analysis,https://www.youtube.com/watch?v=tWuy1b6YFnI,,,,
Fz2wlDBKVN0,UCt0CuBEsH6mAjSUaH2jCCow,As-Sunnah Foundation,1713,Waz / Islamic Sermon,https://www.youtube.com/watch?v=Fz2wlDBKVN0,,,,
hQILAR55rtY,UCt0CuBEsH6mAjSUaH2jCCow,As-Sunnah Foundation,2114,Waz / Islamic Sermon,https://www.youtube.com/watch?v=hQILAR55rtY,,,,
fY7VFSYJt-A,UCt0CuBEsH6mAjSUaH2jCCow,As-Sunnah Foundation,410,Waz / Islamic Sermon,https://www.youtube.com/watch?v=fY7VFSYJt-A,,,,
HmmBMAih_o8,UCt0CuBEsH6mAjSUaH2jCCow,As-Sunnah Foundation,2004,Waz / Islamic Sermon,https://www.youtube.com/watch?v=HmmBMAih_o8,,,,
vqYqU4xaps0,UCt0CuBEsH6mAjSUaH2jCCow,As-Sunnah Foundation,1695,Waz / Islamic Sermon,https://www.youtube.com/watch?v=vqYqU4xaps0,,,,
wbXEYv5C2_8,UC4TirhUjxScWpuLyPQxph7w,Islamic Waz HD TV,428,Waz,https://www.youtube.com/watch?v=wbXEYv5C2_8,,,,
-Qxp7KVTMpg,UC4TirhUjxScWpuLyPQxph7w,Islamic Waz HD TV,3671,Waz,https://www.youtube.com/watch?v=-Qxp7KVTMpg,,,,
zufNXsMP7rc,UC4TirhUjxScWpuLyPQxph7w,Islamic Waz HD TV,3761,Waz,https://www.youtube.com/watch?v=zufNXsMP7rc,,,,
8UJsT1XAY4I,UC4TirhUjxScWpuLyPQxph7w,Islamic Waz HD TV,3024,Waz,https://www.youtube.com/watch?v=8UJsT1XAY4I,,,,
DAdUVv-wzrc,UC4TirhUjxScWpuLyPQxph7w,Islamic Waz HD TV,3934,Waz,https://www.youtube.com/watch?v=DAdUVv-wzrc,,,,
CchOiCCtF5M,UCRLUeitwQEmenr8O5e8Fj9Q,Islamic TV Bangla,3152,Waz / Islamic Programs,https://www.youtube.com/watch?v=CchOiCCtF5M,,,,
sqkWxLLu2cs,UCupYemfrMPnIS1O38rd0u_w,Quraner Alo,2661,Quran Recitation,https://www.youtube.com/watch?v=sqkWxLLu2cs,,,,
vheAjEaUbHU,UCupYemfrMPnIS1O38rd0u_w,Quraner Alo,173,Quran Recitation,https://www.youtube.com/watch?v=vheAjEaUbHU,,,,
eP58u6HKzhU,UCupYemfrMPnIS1O38rd0u_w,Quraner Alo,3969,Quran Recitation,https://www.youtube.com/watch?v=eP58u6HKzhU,,,,
QaTKFL06zEI,UCupYemfrMPnIS1O38rd0u_w,Quraner Alo,2661,Quran Recitation,https://www.youtube.com/watch?v=QaTKFL06zEI,,,,
jxbpvP-0sCw,UCupYemfrMPnIS1O38rd0u_w,Quraner Alo,2594,Quran Recitation,https://www.youtube.com/watch?v=jxbpvP-0sCw,,,,
N7om7BiLN38,UCxStLx7yb96MGBfIMo20x7Q,Mizanur Rahman Azhari,62,Waz / Islamic Sermon,https://www.youtube.com/watch?v=N7om7BiLN38,,,,
E1xMQMMBrzQ,UCxStLx7yb96MGBfIMo20x7Q,Mizanur Rahman Azhari,61,Waz / Islamic Sermon,https://www.youtube.com/watch?v=E1xMQMMBrzQ,,,,
BSKUW7OqB7s,UCxStLx7yb96MGBfIMo20x7Q,Mizanur Rahman Azhari,70,Waz / Islamic Sermon,https://www.youtube.com/watch?v=BSKUW7OqB7s,,,,
xEzHBzMm9zM,UCxStLx7yb96MGBfIMo20x7Q,Mizanur Rahman Azhari,196,Waz / Islamic Sermon,https://www.youtube.com/watch?v=xEzHBzMm9zM,,,,
tumwmXWwxpc,UCxStLx7yb96MGBfIMo20x7Q,Mizanur Rahman Azhari,214,Waz / Islamic Sermon,https://www.youtube.com/watch?v=tumwmXWwxpc,,,,
X2Vj5j4w3N0,UCLZLfy4DVTfpBpylslR_OPQ,Nadir On The Go,340,Satire / Talk,https://www.youtube.com/watch?v=X2Vj5j4w3N0,,,,
ShueOxUK2uo,UCivHZmJcD6mvSrpkI9k9htg,Salman Muqtadir,301,Youth Talk / Slang,https://www.youtube.com/watch?v=ShueOxUK2uo,,,,
Hsw1-yYH9wo,UCivHZmJcD6mvSrpkI9k9htg,Salman Muqtadir,276,Youth Talk / Slang,https://www.youtube.com/watch?v=Hsw1-yYH9wo,,,,
8zvhH1tNG2s,UCivHZmJcD6mvSrpkI9k9htg,Salman Muqtadir,227,Youth Talk / Slang,https://www.youtube.com/watch?v=8zvhH1tNG2s,,,,
nLp2a_GFcOM,UCivHZmJcD6mvSrpkI9k9htg,Salman Muqtadir,181,Youth Talk / Slang,https://www.youtube.com/watch?v=nLp2a_GFcOM,,,,
4sTsNXf6o2w,UCivHZmJcD6mvSrpkI9k9htg,Salman Muqtadir,147,Youth Talk / Slang,https://www.youtube.com/watch?v=4sTsNXf6o2w,,,,
4oeC9QBn5nc,UCNnwsz3xerj_3fUmlbaQW1Q,Jhakanaka Project,501,Slang / Comedy,https://www.youtube.com/watch?v=4oeC9QBn5nc,,,,
_miwDc0WJVo,UCygVqyCKdETSropEKKlTXgA,The Idiots,102,Comedy Talk,https://www.youtube.com/watch?v=_miwDc0WJVo,,,,
t1WFbaoD3PI,UCygVqyCKdETSropEKKlTXgA,The Idiots,121,Comedy Talk,https://www.youtube.com/watch?v=t1WFbaoD3PI,,,,
i9p3L9-J6E8,UCfKnQQTjGNN8i8vrhPj-eeg,Facts and Fun BD,81,Casual Talk,https://www.youtube.com/watch?v=i9p3L9-J6E8,,,,
